accommodation_name,accommodation_address,accommodation_rating,accommodation_city
Sanctuary Inn On Westernport,"126 Marine Parade, Hastings VIC 3915, Australia",3.7,FRANKSTON
Lochiel Bed and Breakfast Accommodation Mornington Peninsula,"74 York St, Mornington VIC 3931, Australia",5.0,FRANKSTON
Kerang Motel,"77 Wellington St, Kerang VIC 3579, Australia",4.4,KERANG
Loddon River Motel Kerang,"103 Wellington St, Kerang VIC 3579, Australia",4.7,KERANG
Kerang Valley Resort,"76 Murray Valley Hwy, Kerang VIC 3579, Australia",3.8,KERANG
Ibis Caravan Park and Kerang Cabins,"9399 Murray Valley Hwy, Kerang VIC 3579, Australia",4.4,KERANG
Acacia Rose Motor Inn,"18 Thule St, Barham NSW 2732, Australia",4.5,KERANG
Murray Waters Motor Inn & Apartments,"1 Keene St, Koondrook VIC 3580, Australia",4.7,KERANG
Riverland Motel,"45 Thule St, Barham NSW 2732, Australia",4.3,KERANG
Barham Colonial Motel,"72 Murray St, Barham NSW 2732, Australia",3.7,KERANG
CluBarham River Motel,"1 Niemur St, Barham NSW 2732, Australia",3.8,KERANG
Barham Bridge Motor Inn,"1 Murray St, Barham NSW 2732, Australia",4.3,KERANG
cluBarham Motel,"45 Murray St, Barham NSW 2732, Australia",4.3,KERANG
Arch on Mellool,"Cnr of Murray & Mellool Street, Barham NSW 2732, Australia",5.0,KERANG
Barham Golden Rivers Apartments,"21 Niemur St, Barham NSW 2732, Australia",4.4,KERANG
Kimberley Gardens Hotel,"441 Inkerman St, St Kilda East VIC 3183, Australia",4.4,CAULFIELD SOUTH
Evancourt Motel,"1015/1019 Princes Hwy Service Rd, Malvern East VIC 3145, Australia",3.0,CAULFIELD SOUTH
Seaside Home,"35 Shelley St, Elwood VIC 3184, Australia",4.7,CAULFIELD SOUTH
Tolarno Hotel,"42 Fitzroy St, St Kilda VIC 3182, Australia",4.0,CAULFIELD SOUTH
The Caulfield Serviced Apartments,"Apartment 103/6 Station St, Caulfield North VIC 3161, Australia",0.0,CAULFIELD SOUTH
The Sebel Melbourne Malvern,"803 Dandenong Rd, Malvern VIC 3145, Australia",4.4,CAULFIELD SOUTH
Carnegie Motor Inn,"1102 Dandenong Rd, Carnegie VIC 3163, Australia",3.0,CAULFIELD SOUTH
Brighton Serviced Apartments,"408 Bay St, Brighton VIC 3186, Australia",4.0,CAULFIELD SOUTH
Chadstone Executive Motel,"1364 Dandenong Rd, Hughesdale VIC 3166, Australia",3.1,CAULFIELD SOUTH
Deco Family House,"1496 Malvern Rd, Glen Iris VIC 3146, Australia",4.5,CAULFIELD SOUTH
Sixty Two On Grey,"62 Grey St, St Kilda VIC 3182, Australia",3.8,CAULFIELD SOUTH
Sandbelt Club Hotel,"630 South Rd, Moorabbin VIC 3189, Australia",3.7,CAULFIELD SOUTH
Quest Brighton on the Bay,"250 Esplanade, Brighton VIC 3186, Australia",4.0,CAULFIELD SOUTH
Manhattan Apartments - Caulfield North,"466 Dandenong Rd, Caulfield North VIC 3161, Australia",4.0,CAULFIELD SOUTH
Espresso Apartments,"10/110 Martin St, Brighton VIC 3186, Australia",5.0,CAULFIELD SOUTH
Redan Apartments,"25 Redan St, St Kilda VIC 3182, Australia",1.8,CAULFIELD SOUTH
Como Court,"53 Barkly St, Melbourne VIC 3182, Australia",3.1,CAULFIELD SOUTH
Melaleuca Motel,"25 Bentinck St, Portland VIC 3305, Australia",4.1,PORTLAND
William Dutton Motel,"141 Percy St, Portland VIC 3305, Australia",3.0,PORTLAND
Admella Motel,"Via Percy street, 5 Otway Ct, Portland VIC 3305, Australia",4.6,PORTLAND
Mariner Motel,"196 Percy St, Portland VIC 3305, Australia",4.4,PORTLAND
Portland Retro Motel,"206 Hurd St, Portland VIC 3305, Australia",4.5,PORTLAND
Clifftop Accommodation Portland Vic Australia,"13 Clifton Ct, Portland VIC 3305, Australia",4.9,PORTLAND
Corio Bay Motel,"292 Princes Hwy, Corio VIC 3214, Australia",3.0,BANNOCKBURN
Shannon Motor Inn,"283/285 Shannon Ave, Newtown VIC 3220, Australia",4.4,BANNOCKBURN
The Abbotswood Motor Inn,"308-310 High St, Belmont VIC 3216, Australia",3.7,BANNOCKBURN
The Sphinx Hotel,"2 Thompson Rd, North Geelong VIC 3215, Australia",3.9,BANNOCKBURN
Parkwood Motel & Apartments,"8 Lily St, Hamlyn Heights VIC 3215, Australia",4.3,BANNOCKBURN
Belmercer Motel,"12-14 Mercer St, Geelong VIC 3220, Australia",3.7,BANNOCKBURN
Kardinia Park Motel,"422 Latrobe Terrace, Newtown VIC 3220, Australia",3.8,BANNOCKBURN
Admiralty Inn,"66 McKillop St, Geelong VIC 3220, Australia",4.2,BANNOCKBURN
Aristocrat Waurnvale Motel,"90 Waurn Ponds Dr, Waurn Ponds VIC 3216, Australia",4.0,BANNOCKBURN
Aberdeen Motor Inn,"9 Aberdeen St, Geelong VIC 3220, Australia",3.1,BANNOCKBURN
Colonial Lodge Motel,"57 Fyans St, Geelong VIC 3220, Australia",2.3,BANNOCKBURN
Geelong Rippleside Park Motor Inn,"67 Melbourne Rd, Geelong VIC 3215, Australia",4.2,BANNOCKBURN
Rose Garden Motel,"14-16 Settlement Rd, Geelong VIC 3216, Australia",4.5,BANNOCKBURN
Gold Star Stays,"75 McKillop St, Geelong VIC 3220, Australia",3.5,BANNOCKBURN
Golden Palms Motel,"234 Torquay Rd, Grovedale VIC 3216, Australia",4.0,BANNOCKBURN
Best Western Geelong Motor Inn and Apartments,"30 Keera St, Geelong VIC 3220, Australia",4.1,BANNOCKBURN
Hacienda Motel Geelong,"15 Mt Pleasant Rd, Geelong VIC 3216, Australia",4.2,BANNOCKBURN
Sabina on Little Myers,"90 Little Myers St, Geelong VIC 3220, Australia",5.0,BANNOCKBURN
Rippleside Park,"Rippleside VIC 3215, Australia",4.3,BANNOCKBURN
Anchor Geelong,"39 Swanston St, Geelong VIC 3220, Australia",4.6,BANNOCKBURN
Oval Motel Bendigo,"194 Barnard St, Bendigo VIC 3550, Australia",4.5,BENDIGO
Alexandra Place,"198-200 McCrae St, Bendigo VIC 3550, Australia",4.5,BENDIGO
Best Western Cathedral Motor Inn,"96-102 High St, Bendigo VIC 3550, Australia",4.4,BENDIGO
Central Deborah Motel,"177/183 High St, Bendigo VIC 3550, Australia",4.4,BENDIGO
Barclay On View,"181 View St, Bendigo VIC 3550, Australia",4.0,BENDIGO
The Happy Wanderer Motel,"358 Napier St, Bendigo VIC 3550, Australia",4.2,BENDIGO
Elm Motel,"454 High St, Golden Square VIC 3555, Australia",4.4,BENDIGO
Bendigo Goldfields Motor Inn,"308 High St, Golden Square VIC 3555, Australia",4.5,BENDIGO
Tea House Motor Inn and Apartments,"280 Napier St, Bendigo VIC 3550, Australia",4.7,BENDIGO
The Heritage Bendigo,"259 High St, Bendigo VIC 3550, Australia",4.6,BENDIGO
Bendigo Guesthouse,"119 Barnard St, Bendigo VIC 3554, Australia",4.6,BENDIGO
Golden Hills Motel,"145 Marong Rd, Bendigo VIC 3550, Australia",4.3,BENDIGO
Golden Square Motor Inn,"371 High St, Golden Square VIC 3555, Australia",4.4,BENDIGO
Bendigo Homestead Motor Inn & Apartments,"508 High St, Golden Square VIC 3555, Australia",3.7,BENDIGO
Fountain View Suites,"10-12 View St, Bendigo VIC 3550, Australia",4.3,BENDIGO
Bendigo Welcome Stranger Motel,"56 MacKenzie St W, Golden Square VIC 3555, Australia",4.5,BENDIGO
Bendigo's Allara Motor Lodge,"569 Napier St, Bendigo VIC 3550, Australia",3.8,BENDIGO
Calder Motel,"296 High St, Kangaroo Flat VIC 3555, Australia",4.0,BENDIGO
Stay Social Bendigo Accommodation,"212 Queen St, Bendigo VIC 3550, Australia",4.1,BENDIGO
Bendigo Central Apartments,"175 High St, Bendigo VIC 3550, Australia",3.8,BENDIGO
Dandenong Motel,"147 Princes Hwy, Dandenong VIC 3175, Australia",3.5,DANDENONG
Sandown Heritage Motor Inn,"433 Princes Hwy, Noble Park VIC 3174, Australia",3.5,DANDENONG
Casey on Princes Motel,"218 Princes Hwy, Hallam VIC 3803, Australia",3.6,DANDENONG
Prince Mark Motor Inn,"4 Power Rd, Doveton VIC 3177, Australia",3.7,DANDENONG
The Mulgrave Motel (Formerly Mulgrave Court Motor Inn),"5 Harcourt Ave, Mulgrave VIC 3170, Australia",3.8,DANDENONG
Carrum Downs Motel,"1165 Frankston - Dandenong Rd, Carrum Downs VIC 3201, Australia",3.7,DANDENONG
Lamplighter Motel,"1440 Dandenong Rd, Oakleigh VIC 3166, Australia",3.0,DANDENONG
Caravan Parks of Australia Frankston Holiday Park,"1325 Frankston - Dandenong Rd, Carrum Downs VIC 3201, Australia",4.0,DANDENONG
Sandhurst Motel,"1325 Frankston - Dandenong Rd, Carrum Downs VIC 3201, Australia",3.7,DANDENONG
BIG4 Dandenong Tourist Park,"370 Frankston - Dandenong Rd, Dandenong South VIC 3175, Australia",4.0,DANDENONG
Evancourt Motel,"1015/1019 Princes Hwy Service Rd, Malvern East VIC 3145, Australia",3.0,DANDENONG
Aspendale Shore Motel,"31 Nepean Hwy, Aspendale VIC 3195, Australia",3.0,DANDENONG
Chadstone Executive Motel,"1364 Dandenong Rd, Hughesdale VIC 3166, Australia",3.1,DANDENONG
Carnegie Motor Inn,"1102 Dandenong Rd, Carnegie VIC 3163, Australia",3.0,DANDENONG
Japanese Slipper,"312 Glenfern Rd, Upwey VIC 3158, Australia",4.2,DANDENONG
Paddys Creek Retreat Guesthouse,"29 Mast Gully Rd, Upwey VIC 3158, Australia",0.0,DANDENONG
Homelike in Glen Waverley,"569 Waverley Rd, Glen Waverley VIC 3150, Australia",3.4,DANDENONG
Best Western Geelong Motor Inn and Apartments,"30 Keera St, Geelong VIC 3220, Australia",4.1,GEELONG
Comfort Inn Bay City,"231-235 Malop St, Geelong VIC 3220, Australia",4.0,GEELONG
Admiralty Inn,"66 McKillop St, Geelong VIC 3220, Australia",4.2,GEELONG
Shannon Motor Inn,"283/285 Shannon Ave, Newtown VIC 3220, Australia",4.4,GEELONG
Belmercer Motel,"12-14 Mercer St, Geelong VIC 3220, Australia",3.7,GEELONG
Aberdeen Motor Inn,"9 Aberdeen St, Geelong VIC 3220, Australia",3.1,GEELONG
Eastern Sands Geelong Accommodation,"1 Bellerine St, Geelong VIC 3220, Australia",3.8,GEELONG
Parkside Motel Geelong,"68 High St, Geelong VIC 3216, Australia",3.3,GEELONG
The Sphinx Hotel,"2 Thompson Rd, North Geelong VIC 3215, Australia",3.9,GEELONG
The Abbotswood Motor Inn,"308-310 High St, Belmont VIC 3216, Australia",3.7,GEELONG
Corio Bay Motel,"292 Princes Hwy, Corio VIC 3214, Australia",3.0,GEELONG
Quality Hotel Bayside Geelong,"13-15 The Esplanade, Geelong VIC 3220, Australia",4.0,GEELONG
Hacienda Motel Geelong,"15 Mt Pleasant Rd, Geelong VIC 3216, Australia",4.2,GEELONG
Parkwood Motel & Apartments,"8 Lily St, Hamlyn Heights VIC 3215, Australia",4.3,GEELONG
Riverglen Holiday Park Geelong,"75 Barrabool Rd, Belmont VIC 3216, Australia",4.3,GEELONG
Anchor Geelong,"39 Swanston St, Geelong VIC 3220, Australia",4.6,GEELONG
Kardinia Park Motel,"422 Latrobe Terrace, Newtown VIC 3220, Australia",3.8,GEELONG
Rose Garden Motel,"14-16 Settlement Rd, Geelong VIC 3216, Australia",4.5,GEELONG
Geelong Rippleside Park Motor Inn,"67 Melbourne Rd, Geelong VIC 3215, Australia",4.2,GEELONG
Golden Palms Motel,"234 Torquay Rd, Grovedale VIC 3216, Australia",4.0,GEELONG
The Carrington,"505 Wyndham St, Shepparton VIC 3630, Australia",4.2,SHEPPARTON
Quality Hotel Parklake Shepparton,"481 Wyndham St, Shepparton VIC 3630, Australia",4.0,SHEPPARTON
Bell Tower Motor Inn,"587 Wyndham St, Shepparton VIC 3630, Australia",4.0,SHEPPARTON
Country Home Motor Inn,"11 Wyndham St, Shepparton VIC 3630, Australia",4.3,SHEPPARTON
Big Valley Motor Inn,"564 Wyndham St, Shepparton VIC 3630, Australia",4.2,SHEPPARTON
Quality Hotel Sherbourne Terrace,"109 Wyndham St, Shepparton VIC 3630, Australia",4.0,SHEPPARTON
"Paradise Lakes Motel, Shepparton","7685 Goulburn Valley Hwy, Kialla VIC 3631, Australia",4.7,SHEPPARTON
Courtyard Motor Inn,"58/60 Wyndham St, Shepparton VIC 3630, Australia",4.2,SHEPPARTON
Pines Country Club Motor Inn,"103/109 Numurkah Rd, Shepparton VIC 3630, Australia",4.1,SHEPPARTON
Southgate Motor Inn,"630 Wyndham St, Shepparton VIC 3630, Australia",4.3,SHEPPARTON
Tudor House Motor Inn(Not Pet Friendly),"64 Wyndham St, Shepparton VIC 3630, Australia",3.8,SHEPPARTON
Addison Motor Inn,"33-37 Wyndham St, Shepparton VIC 3630, Australia",4.6,SHEPPARTON
Overlander Hotel,"97 Benalla Rd, Shepparton VIC 3630, Australia",4.0,SHEPPARTON
"Wyndhamere Motel, Shepparton","65-67 Wyndham St, Shepparton VIC 3630, Australia",4.2,SHEPPARTON
Riverside Cabin Park,"8049 Goulburn Valley Hwy, Kialla VIC 3631, Australia",4.5,SHEPPARTON
Quest Shepparton,"177-183 Welsford St, Shepparton VIC 3630, Australia",4.2,SHEPPARTON
Comfort Inn Peppermill,"7900 Goulburn Valley Hwy, Shepparton VIC 3630, Australia",4.2,SHEPPARTON
Shepparton Golf Motel,"15 Golf Dr, Shepparton VIC 3630, Australia",4.2,SHEPPARTON
THE ROYAL MAIL HOTEL,"47 McLennan St, Mooroopna VIC 3629, Australia",4.3,SHEPPARTON
Rodney Motor Inn,"146 McLennan St, Mooroopna VIC 3629, Australia",4.5,SHEPPARTON
Daylesford Central Motor Inn,"54 Albert St, Daylesford VIC 3460, Australia",4.6,DAYLESFORD
The Royal Daylesford Hotel,"27 Vincent St, Daylesford VIC 3460, Australia",4.0,DAYLESFORD
Daylesford Hotel,"2 Burke Square, Daylesford VIC 3460, Australia",4.2,DAYLESFORD
Lake Daylesford Apartments,"16 Leggatt St, Daylesford VIC 3460, Australia",3.9,DAYLESFORD
Daylesford Inn,"2891 Ballan-Daylesford Rd, Daylesford VIC 3460, Australia",4.5,DAYLESFORD
Avala Accommodation,"11 Hepburn Rd, Daylesford VIC 3460, Australia",3.6,DAYLESFORD
FARMERS ARMS HOTEL DAYLESFORD,"1 East St, Daylesford VIC 3460, Australia",4.4,DAYLESFORD
Hotel Frangos,"82 Vincent St, Daylesford VIC 3460, Australia",3.4,DAYLESFORD
Daylesford Lake Villas,"110 West St, Daylesford VIC 3460, Australia",5.0,DAYLESFORD
Albert Hotel,"Daylesford VIC 3460, Australia",5.0,DAYLESFORD
Two Ducks,"10 Hepburn Rd, Daylesford VIC 3460, Australia",5.0,DAYLESFORD
Central Springs Inn,"6 Camp St, Daylesford VIC 3460, Australia",4.5,DAYLESFORD
Balconies Lakeside B&B (Book Direct),"15 Leggatt St, Daylesford VIC 3460, Australia",4.9,DAYLESFORD
Daylesford Holiday Park,"3021 Ballan-Daylesford Rd, Daylesford VIC 3460, Australia",4.3,DAYLESFORD
Lake House,"4 King St, Daylesford VIC 3460, Australia",4.6,DAYLESFORD
The Mills Daylesford,"12 Camp St, Daylesford VIC 3460, Australia",4.3,DAYLESFORD
The Station House,"15 Raglan St, Daylesford VIC 3460, Australia",5.0,DAYLESFORD
The Weekender Daylesford,"60 Grenville St, Daylesford VIC 3460, Australia",5.0,DAYLESFORD
"Bellinzona Resort, Cellar Door & Dining","77 Main Rd, Hepburn Springs VIC 3461, Australia",4.2,DAYLESFORD
Nhill Oasis Motel,"21 Dimboola Rd, Nhill VIC 3418, Australia",4.1,NHILL
Zero Inn Motel,"31 Nelson St, Nhill VIC 3418, Australia",3.9,NHILL
Motel Wimmera,"1 Fritsch Ct, Nhill VIC 3418, Australia",3.8,NHILL
Nightcap at Westside Hotel,"Leakes Rd &, Fitzgerald Rd, Laverton VIC 3026, Australia",4.0,ALTONA
Club Laverton,"15 Aviation Rd, Laverton VIC 3028, Australia",3.9,ALTONA
Millers Inn,"204 Millers Rd, Altona North VIC 3025, Australia",3.8,ALTONA
Westside Hotel,"Leakes Rd &, Fitzgerald Rd, Laverton VIC 3026, Australia",3.8,ALTONA
The Lodge,"481 Melbourne Rd, Newport VIC 3015, Australia",3.8,ALTONA
Guiding Star Hotel,"700 Geelong Rd, Brooklyn VIC 3012, Australia",4.1,ALTONA
Quest Williamstown North,"115-119 Kororoit Creek Rd, Williamstown VIC 3016, Australia",4.0,ALTONA
Newport Homestay & Lodge,"481 Melbourne Rd, Newport VIC 3015, Australia",4.6,ALTONA
Quest Sanctuary Lakes,"9 Greg Norman Dr, Point Cook VIC 3030, Australia",4.3,ALTONA
Quality Suites Point Cook Seasons 5,"454 Point Cook Rd, Point Cook VIC 3030, Australia",4.1,ALTONA
Monte Villa Motor Inn,"78-80 Old Geelong Rd, Hoppers Crossing VIC 3029, Australia",3.5,ALTONA
West City Motel,"610 Ballarat Rd, Ardeer VIC 3022, Australia",3.5,ALTONA
Footscray Motor Inn,"90 Droop St, Footscray VIC 3011, Australia",3.7,ALTONA
Sunshine Motor Inn,"608 Ballarat Rd, Ardeer VIC 3022, Australia",4.1,ALTONA
Glengala Hotel,"214 Glengala Rd, Sunshine VIC 3020, Australia",3.7,ALTONA
Jasper Hotel,"489 Elizabeth St, Melbourne VIC 3000, Australia",4.1,ALTONA
Plough Hotel Footscray,"333 Barkly St, Footscray VIC 3011, Australia",4.3,ALTONA
Deluxe Lake View House 20mins CBD,"39 Spinnaker Rise, Point Cook VIC 3030, Australia",5.0,ALTONA
Discovery Parks - Melbourne,"129 Ashley St, Braybrook VIC 3019, Australia",4.2,ALTONA
Melrose Apartments,"171 Melrose St, North Melbourne VIC 3051, Australia",4.4,ALTONA
Comfort Inn Capital Horsham,"109 Firebrace St, Horsham VIC 3400, Australia",4.0,HORSHAM
Horsham Motel,"5 Dimboola Rd, Horsham VIC 3400, Australia",3.8,HORSHAM
Comfort Inn May Park,"2-4 Darlot St, Horsham VIC 3400, Australia",4.4,HORSHAM
Horsham Mid City Court Motel,"12-14 Darlot St, Horsham VIC 3400, Australia",4.1,HORSHAM
Sundowner Horsham Westlander Motor Inn,"100 Stawell Rd, Horsham VIC 3400, Australia",4.0,HORSHAM
Horsham International Hotel,"118 Baillie St, Horsham VIC 3400, Australia",4.2,HORSHAM
Smerdon Lodge Motel,"42 Dimboola Rd, Horsham VIC 3400, Australia",4.0,HORSHAM
Country City Motor Inn,"11 Ocallaghans Parade, Horsham VIC 3400, Australia",4.6,HORSHAM
majestic motel,"56 Stawell Rd, Horsham VIC 3400, Australia",4.1,HORSHAM
Town House Motor Inn Horsham 0353824691,"31-33 Roberts Ave, Horsham VIC 3400, Australia",4.4,HORSHAM
Horsham Riverside Caravan Park,"190 Firebrace St, Horsham VIC 3400, Australia",4.3,HORSHAM
Royal Hotel,"132 Firebrace St, Horsham VIC 3400, Australia",4.2,HORSHAM
Ploughmans Motor Inn,"22 Dimboola Rd, Horsham VIC 3400, Australia",4.1,HORSHAM
Olde Horsham Motor Inn,"9182 Western Hwy, Riverside VIC 3401, Australia",3.8,HORSHAM
Darlot Motor Inn,"47 Stawell Rd, Horsham VIC 3400, Australia",3.9,HORSHAM
Glynlea Motel,"26-28 Stawell Rd, Horsham VIC 3400, Australia",3.8,HORSHAM
May Park Executive Apartments,"1 Darlot St, Horsham VIC 3400, Australia",4.3,HORSHAM
Wimmera Lakes Caravan Resort,"9161 Western Hwy, Haven VIC 3401, Australia",3.9,HORSHAM
Golden Grain Motor Inn,"6 Dimboola Rd, Horsham VIC 3400, Australia",4.0,HORSHAM
Tanderra Cottage Horsham,"24 Stewart St, Horsham VIC 3400, Australia",5.0,HORSHAM
Meadow Inn Hotel-Motel,"1435 Sydney Rd, Fawkner VIC 3061, Australia",3.6,BROADMEADOWS
Hume Villa Motor Inn,"1324 Sydney Rd, Fawkner VIC 3060, Australia",3.9,BROADMEADOWS
Best Western Airport Motel & Convention Centre,"33 Ardlie St, Attwood VIC 3049, Australia",4.2,BROADMEADOWS
Melbourne Airport Motel,"123 Mickleham Rd, Tullamarine VIC 3043, Australia",4.6,BROADMEADOWS
Best Western Mahoneys Motor Inn,"47A Mahoneys Rd, Reservoir VIC 3073, Australia",3.7,BROADMEADOWS
Bell Motel,"2 Patterson St, Preston VIC 3072, Australia",4.1,BROADMEADOWS
Essendon Motel,"93 Bulla Rd, Melbourne VIC 3041, Australia",2.8,BROADMEADOWS
Gladstone Park Hotel,"196 Mickleham Rd, Gladstone Park VIC 3043, Australia",3.9,BROADMEADOWS
Ciloms Airport Lodge,"398 Melrose Dr, Tullamarine VIC 3043, Australia",3.9,BROADMEADOWS
Coburg Motor Inn,"726 Sydney Rd, Coburg North VIC 3058, Australia",2.6,BROADMEADOWS
St Georges Motor Inn,"334 St Georges Rd, Thornbury VIC 3071, Australia",4.0,BROADMEADOWS
The Black Horse Hotel,"80 Bulla Rd, Bulla VIC 3428, Australia",4.1,BROADMEADOWS
Taylors Lakes Hotel,"7 Melton Hwy, Taylors Lakes VIC 3038, Australia",4.2,BROADMEADOWS
Footscray Motor Inn,"90 Droop St, Footscray VIC 3011, Australia",3.7,BROADMEADOWS
Best Western Mill Park Motel & Conference Centre,"14 The Link, Mill Park VIC 3082, Australia",4.0,BROADMEADOWS
West City Motel,"610 Ballarat Rd, Ardeer VIC 3022, Australia",3.5,BROADMEADOWS
Arden Motel,"15 Arden St, North Melbourne VIC 3051, Australia",3.7,BROADMEADOWS
Greensborough Motor Inn,"245 Greensborough Rd, Macleod VIC 3085, Australia",3.7,BROADMEADOWS
Parkville Motel,"759 Park St, Brunswick VIC 3056, Australia",3.7,BROADMEADOWS
Sunshine Motor Inn,"608 Ballarat Rd, Ardeer VIC 3022, Australia",4.1,BROADMEADOWS
Beechworth Carriage Motor Inn,"44 Camp St, Beechworth VIC 3747, Australia",3.8,BEECHWORTH
Beechworth on Bridge Motel,"38 Bridge Rd, Beechworth VIC 3747, Australia",4.7,BEECHWORTH
Beechworth Motor Inn,"54 Sydney Rd, Beechworth VIC 3747, Australia",4.7,BEECHWORTH
Golden Heritage Accommodation,"51 Sydney Rd, Beechworth VIC 3747, Australia",4.6,BEECHWORTH
Hibernian Apartments Beechworth,"36 Camp St, Beechworth VIC 3747, Australia",4.8,BEECHWORTH
Yackandandah Motor Inn,"18 High St, Yackandandah VIC 3749, Australia",4.7,BEECHWORTH
Cascades at Beechworth,"2 Bridge St, Beechworth VIC 3747, Australia",5.0,BEECHWORTH
Motel Views Yackandandah,"3729 Myrtleford-Yackandandah Rd, Yackandandah VIC 3749, Australia",4.8,BEECHWORTH
Milawa Motel,"1615 Snow Rd, Milawa VIC 3678, Australia",4.5,BEECHWORTH
StoneTryst Spa Villas,"10 Granjoise Ln, Beechworth VIC 3747, Australia",4.9,BEECHWORTH
Annies Holiday Units,"Gorge Road, Beechworth VIC 3747, Australia",4.7,BEECHWORTH
Elm Tree Lodge Beechworth,"38 Loch St, Beechworth VIC 3747, Australia",0.0,BEECHWORTH
Maydays,"41 High St, Beechworth VIC 3747, Australia",5.0,BEECHWORTH
Lilac Cottage,"23 Williams St, Beechworth VIC 3747, Australia",5.0,BEECHWORTH
Back Creek Christian Youth Centre,"95 Schmidt Ln, Yackandandah VIC 3749, Australia",4.0,BEECHWORTH
Spring Creek Cottage,"70 High St, Beechworth VIC 3747, Australia",5.0,BEECHWORTH
Springhurst Butter Factory,"160 Anzac Rd, Springhurst VIC 3682, Australia",4.7,BEECHWORTH
Cottonwoods Accommodation,"2139 Snow Rd, Markwood VIC 3678, Australia",4.7,BEECHWORTH
Chiltern Cottage and Indigo Suite,"54 Conness St, Chiltern VIC 3683, Australia",5.0,BEECHWORTH
Colby Cottages,"1149 Beechworth-Wodonga Rd, Beechworth VIC 3747, Australia",5.0,BEECHWORTH
Best Western Plus Buckingham International,"1130 Nepean Hwy, Highett VIC 3190, Australia",4.1,CHELTENHAM
Quest Cheltenham,"37-39 Station Rd, Cheltenham VIC 3192, Australia",4.1,CHELTENHAM
Parkdale Motor Inn,"202-208 Nepean Hwy, Parkdale VIC 3195, Australia",3.3,CHELTENHAM
Quest Moorabbin serviced apartment,"3 Kingston Rd, Heatherton VIC 3202, Australia",4.2,CHELTENHAM
Sandbelt Club Hotel,"630 South Rd, Moorabbin VIC 3189, Australia",3.7,CHELTENHAM
Beaumaris Bay Motel,"31 Bodley St, Beaumaris VIC 3193, Australia",4.2,CHELTENHAM
The Dingley Hotel,"334 Boundary Rd, Dingley Village VIC 3172, Australia",4.1,CHELTENHAM
Nightcap at Sandringham Hotel,"Cnr Beach &, Bay Rd, Sandringham VIC 3191, Australia",4.0,CHELTENHAM
Dingley International Motel,"334 Boundary Rd, Dingley Village VIC 3172, Australia",4.4,CHELTENHAM
Sandy Hill Serviced Apartments,"220 Bay Rd, Sandringham VIC 3191, Australia",4.3,CHELTENHAM
Comfort Inn Mentone Hub,"Nepean Hwy, Mentone VI 3194, Australia",5.0,CHELTENHAM
Aspendale Shore Motel,"31 Nepean Hwy, Aspendale VIC 3195, Australia",3.0,CHELTENHAM
Clayton-Monash Motor Inn & Serviced Apartments,"1790 Princes Hwy, Clayton VIC 3168, Australia",3.8,CHELTENHAM
Lamplighter Motel,"1440 Dandenong Rd, Oakleigh VIC 3166, Australia",3.0,CHELTENHAM
Holiday Shacks Luxury Accommodation Mornington Peninsula,"41B Bluff Rd, Black Rock VIC 3193, Australia",4.0,CHELTENHAM
Evancourt Motel,"1015/1019 Princes Hwy Service Rd, Malvern East VIC 3145, Australia",3.0,CHELTENHAM
Victoria Golf Club,"Park Rd, Cheltenham VIC 3192, Australia",4.7,CHELTENHAM
Seaside Home,"35 Shelley St, Elwood VIC 3184, Australia",4.7,CHELTENHAM
Kimberley Gardens Hotel,"441 Inkerman St, St Kilda East VIC 3183, Australia",4.4,CHELTENHAM
Doyles Bridge Hotel,"1-4 Nepean Hwy, Aspendale VIC 3195, Australia",4.1,CHELTENHAM
Hotel Cavalier,"343 Stud Rd, Wantirna South VIC 3152, Australia",3.3,WANTIRNA SOUTH
Punthill Apartment Hotel Knox,"337 Stud Rd, Wantirna South VIC 3152, Australia",3.4,WANTIRNA SOUTH
Melbourne Knox Central Apartment Hotel,"400 Burwood Hwy, Wantirna South VIC 3152, Australia",4.6,WANTIRNA SOUTH
Knox International Hotel and Apartments,"137 Mountain Hwy, Wantirna VIC 3152, Australia",3.3,WANTIRNA SOUTH
Golden Pebble Hotel,"500 Boronia Rd, Wantirna VIC 3152, Australia",3.7,WANTIRNA SOUTH
The Burvale Hotel,"Cnr Springvale Rd &, Burwood Hwy, Nunawading VIC 3131, Australia",3.8,WANTIRNA SOUTH
Kubix,"400 Burwood Hwy, Wantirna South VIC 3152, Australia",3.8,WANTIRNA SOUTH
The Waverley International Hotel,"301 Springvale Rd, Glen Waverley VIC 3150, Australia",3.8,WANTIRNA SOUTH
ibis Melbourne Glen Waverley,"297 Springvale Rd, Glen Waverley VIC 3150, Australia",4.1,WANTIRNA SOUTH
Nightcap at Ferntree Gully Hotel Motel,"1130 Burwood Hwy, Ferntree Gully VIC 3156, Australia",4.0,WANTIRNA SOUTH
Quality Hotel Manor,"669 Maroondah Hwy, Mitcham VIC 3132, Australia",3.8,WANTIRNA SOUTH
Burwood East Motel,"355 Blackburn Road, Melbourne (burwood East) VIC 3151, Australia",4.0,WANTIRNA SOUTH
Clayton-Monash Motor Inn & Serviced Apartments,"1790 Princes Hwy, Clayton VIC 3168, Australia",3.8,WANTIRNA SOUTH
Rowville International Hotel,"1233 Stud Rd, Rowville VIC 3178, Australia",4.0,WANTIRNA SOUTH
